Store,weight,val_rmspe
1,0.999,0.06957583435096759
2,1.001,0.08474445152786773
3,1.0,0.09080025605342275
4,1.005,0.09940235893506894
5,0.997,0.08865439538212988
6,0.994,0.08411243517145794
7,1.0,0.11072176320777737
8,1.004,0.08537085433566219
9,0.997,0.122098716722343
10,1.001,0.11833722043485366
11,0.998,0.10551712181316174
12,0.997,0.1239488192568068
13,0.992,0.18580260561703993
14,0.998,0.07978442500484732
15,0.997,0.10935022257443419
16,0.997,0.1030656931588964
17,0.995,0.10824485007211902
18,0.999,0.08348420374220912
19,0.999,0.09953208911334493
20,1.001,0.10000730873586786
21,0.998,0.1129091446258647
22,1.002,0.11879215328455175
23,0.996,0.10607021146217478
24,0.998,0.1344276003530614
25,0.998,0.09166836978786295
26,0.999,0.1132842166433603
27,0.994,0.14509079940332084
28,0.993,0.11500053485398688
29,0.996,0.11500178450021736
30,0.991,0.14053050266055228
31,0.997,0.08124989074135004
32,0.998,0.08948356088555068
33,0.998,0.1023623973525294
34,1.004,0.07898040051152667
35,0.995,0.12766259565944452
36,1.005,0.10377072898268765
37,0.997,0.11239238207152395
38,0.999,0.09687284707852777
39,0.995,0.1048109962966701
40,0.991,0.12605041763161243
41,0.99,0.11692802171274093
42,0.996,0.12993006011393365
43,0.995,0.10181238780482832
44,0.994,0.10510348336703805
45,0.996,0.10809782334552281
46,0.989,0.1534338376587348
47,0.997,0.12820196163734346
48,0.995,0.09140495021466467
49,0.998,0.10131156937821977
50,0.997,0.12904004939375552
51,0.998,0.09944841824840553
52,1.0,0.11475664993537427
53,0.998,0.11127831259783237
54,0.994,0.09585385071766502
55,1.001,0.12254981261889451
56,0.999,0.1054707437467151
57,0.996,0.1330436498428739
58,0.993,0.15340221566413487
59,0.995,0.11890077983314912
60,1.0,0.12831307278350876
61,1.004,0.14358459186732178
62,0.998,0.09944061020611741
63,1.002,0.10308468048193932
64,0.999,0.09355605494454507
65,0.998,0.08959802020944184
66,0.998,0.0927968471667491
67,0.999,0.12501975795577822
68,1.006,0.1342726906775555
69,0.999,0.10886447974746194
70,0.999,0.11886616347860195
71,0.995,0.09411369793773755
72,0.993,0.10683875510384903
73,1.0,0.08438942820791742
